Date	Rice	Gym	Waist.AM	Waist.PM	Chest.AM	Chest.PM	Hip.AM	Hip.PM	Weight.AM	Weight.PM	Fat.L	Fat.R
10/27/14	No	No	34'3	35'	35'3	36'	37'6	37'	168	168.4	10	15
10/28/14	No	No	NA	35'2	NA	35'12	NA	37'7	NA	167.2	9	15
10/29/14	No	No	34'5	35'	35'7	36'2	37'6	37'7	165.8	166.6	8	15
10/30/14	No	No	34'7	35'3	35'8	36'	37'5	37'9	164.8	166.8	10	15
10/31/14	No	No	34'3	34'14	35'10	36'2	37'7	37'8	165.2	166.4	9	16
11/1/14	No	No	NA	35'3	NA	35'8	NA	37'8	NA	167	10	16
11/2/14	No	No	NA	35'2	NA	36'	NA	37'9	NA	167.4	10	18
11/3/14	Yes	Yes	34'4	35'1	35'2	35'6	37'5	37'6	165.2	167.4	10	18
11/4/14	Yes	Yes	34'8	35'	35'12	35'15	37'6	37'8	164	168.6	11	15
11/5/14	Yes	Yes	34'10	35'5	35'8	36'7	37'8	37'9	167.2	169.2	10	18
11/6/14	Yes	Yes	34'10	35'6	36'	36'2	37'7	37'11	168	170	10	18
11/7/14	Yes	Yes	34'11	35'8	35'15	36'3	37'9	37'10	168	169.6	11	18
11/8/14	Yes	Yes	34'9	35'2	35'10	35'10	37'9	37'12	168.2	171.2	12	15
11/9/14	Yes	Yes	34'10	35'2	35'15	35'12	37'9	37'12	169.4	169.4	12	18
11/10/14	No	Yes	34'10	35'6	35'13	35'9	37'9	37'12	168.8	168.6	10	18
11/11/14	No	Yes	34'9	35'4	35'12	35'15	37'9	37'9	167.8	168	10	15
11/12/14	No	Yes	NA	35'1	NA	35'12	NA	37'8	NA	167.2	10	18
11/13/14	No	Yes	NA	35'2	NA	35'12	NA	37'6	NA	167.2	10	18
11/14/14	No	Yes	34'5	35'0	35'6	35'8	37'7	37'8	166.2	167.8	10	15
11/15/14	No	Yes	NA	35'1	NA	35'2	NA	37'14	NA	170.6	NA	NA
11/16/14	No	Yes	34'8	35'1	34'14	35'10	37'8	37'7	167	168.2	10	18
11/17/14	Yes	No	34'5	35'7	35'5	35'10	37'5	37'10	165.8	170.2	11	18
11/18/14	Yes	No	34'6	34'15	35'5	35'15	37'7	37'11	165.6	168.8	10	18
11/19/14	Yes	No	NA	35'3	NA	36'1	NA	37'10	NA	170.4	12	18
11/20/14	Yes	No	NA	35'0	NA	36'0	NA	37'9	NA	168.4	11	18
11/21/14	Yes	No	34'4	35'2	35'4	36'1	37'5	37'8	166.4	169.2	10	18
11/22/14	Yes	No	34'4	35'0	35'2	35'10	37'6	37'6	166.6	169.4	11	18
11/23/14	Yes	No	34'2	35'1	35'4	35'15	37'7	37'9	167.2	169.6	12	20
